epoch     train_loss  valid_loss  valid_accuracy  time
0         0.149339    0.739499    0.837013        39:49                                                                                                      
1         0.162676    1.010945    0.849981        39:38                                                                                                      
2         0.121812    0.973877    0.844211        39:37                                                                                                      
3         0.100888    0.966581    0.839142        39:37                                                                                                      
4         0.089571    0.993191    0.854833        39:36                                                                                                      
5         0.051949    0.987006    0.858851        39:37                                                                                                      
6         0.033532    1.069620    0.861860        39:37                                                                                                      
7         0.034524    1.102660    0.860341        39:39                                                                                                      
8         0.049780    1.250080    0.857146        39:40                                                                                                      
9         0.020975    1.231019    0.858887        39:36                                                                                                       
Saving model
