epoch     train_loss  valid_loss  valid_accuracy  time
0         0.108227    0.592779    0.840402        39:56                                                                                                      
1         0.127744    0.648370    0.839092        39:31                                                                                                      
2         0.091190    0.753429    0.837939        39:39                                                                                                      
3         0.115723    0.685148    0.843700        39:38                                                                                                      
4         0.065610    0.843881    0.852940        39:38                                                                                                      
5         0.053065    0.775203    0.858051        39:38                                                                                                      
6         0.032755    0.811478    0.861789        39:39                                                                                                      
7         0.017915    0.813988    0.861397        39:38                                                                                                      
8         0.017968    0.894678    0.858232        39:38                                                                                                      
9         0.020935    0.922294    0.856247        39:30                                                                                                       
Saving model
