epoch     train_loss  valid_loss  valid_accuracy  time
0         0.455805    0.106919    0.982008        39:45                                                                                                      
1         0.393140    0.338687    0.935582        39:30                                                                                                      
2         0.316464    0.440752    0.914116        39:30                                                                                                      
3         0.290350    0.193860    0.958683        39:30                                                                                                      
4         0.130325    0.219600    0.966258        39:30                                                                                                      
5         0.120755    0.317693    0.951700        39:30                                                                                                      
6         0.076121    0.180126    0.979914        39:30                                                                                                      
7         0.056665    0.228313    0.971606        39:29                                                                                                      
8         0.044219    0.205916    0.973582        39:29                                                                                                      
9         0.061303    0.228693    0.973972        39:32                                                                                                       
Saving model
