epoch     train_loss  valid_loss  valid_accuracy  time
0         0.374751    0.140406    0.973642        39:54                                                                                                      
1         0.215706    0.077453    0.980615        39:43                                                                                                      
2         0.194861    0.096860    0.982977        39:40                                                                                                      
3         0.192849    0.511875    0.899145        39:38                                                                                                      
4         0.127692    0.171721    0.963706        39:41                                                                                                      
5         0.096248    0.074125    0.986751        39:39                                                                                                      
6         0.083829    0.252565    0.953898        39:39                                                                                                      
7         0.059581    0.248201    0.964000        39:36                                                                                                      
8         0.026913    0.206261    0.968320        39:41                                                                                                      
9         0.023648    0.216978    0.968653        39:45                                                                                                       
Saving model
