epoch     train_loss  valid_loss  valid_accuracy  time
0         0.231099    0.460386    0.885466        39:46                                                                                                      
1         0.240854    0.434024    0.905336        39:37                                                                                                      
2         0.212023    0.426454    0.898508        39:33                                                                                                      
3         0.214414    0.406117    0.916293        39:35                                                                                                      
4         0.117663    0.648336    0.921399        39:37                                                                                                      
5         0.090103    0.447891    0.916887        39:35                                                                                                      
6         0.075119    0.628947    0.914552        39:34                                                                                                      
7         0.069452    0.555955    0.923514        39:34                                                                                                      
8         0.024109    0.717005    0.919160        39:34                                                                                                      
9         0.037016    0.722459    0.920974        39:37                                                                                                       
Saving model
