epoch     train_loss  valid_loss  valid_accuracy  time
0         0.164491    0.304565    0.907130        39:56                                                                                                      
1         0.161013    0.307908    0.913731        39:43                                                                                                      
2         0.127237    0.345111    0.913415        39:33                                                                                                      
3         0.087643    0.339346    0.917161        39:33                                                                                                      
4         0.092436    0.503649    0.911128        39:45                                                                                                      
5         0.092445    0.509150    0.912552        39:44                                                                                                      
6         0.048392    0.459836    0.915959        39:42                                                                                                      
7         0.040819    0.596483    0.919230        39:43                                                                                                      
8         0.041686    0.502606    0.921982        39:44                                                                                                      
9         0.021335    0.599499    0.920276        39:35                                                                                                       
Saving model
