epoch     train_loss  valid_loss  valid_accuracy  time
0         0.213860    0.905704    0.848815        40:14                                                                                                      
1         0.212661    0.940576    0.840341        40:05                                                                                                      
2         0.155671    0.732192    0.859887        40:00                                                                                                      
3         0.102999    0.838264    0.852159        39:58                                                                                                      
4         0.094100    1.031954    0.858413        39:53                                                                                                      
5         0.066322    1.104404    0.855181        40:11                                                                                                      
6         0.048054    0.932358    0.867332        40:03                                                                                                      
7         0.036395    1.070242    0.863813        40:06                                                                                                      
8         0.038317    1.222329    0.865398        40:02                                                                                                      
9         0.022350    1.245452    0.865090        40:00                                                                                                       
Saving model
