epoch     train_loss  valid_loss  valid_accuracy  time
0         0.400939    0.083029    0.980843        40:11                                                                                                      
1         0.370565    0.217760    0.943911        39:56                                                                                                      
2         0.376108    0.120849    0.983508        39:54                                                                                                      
3         0.178996    0.118778    0.984610        39:58                                                                                                      
4         0.201481    0.162768    0.966748        39:59                                                                                                      
5         0.082773    0.232442    0.958942        39:54                                                                                                      
6         0.108482    0.205544    0.969305        40:00                                                                                                      
7         0.054036    0.272362    0.969131        39:57                                                                                                      
8         0.173205    0.237751    0.972420        39:55                                                                                                      
9         0.091437    0.278374    0.968848        39:55                                                                                                       
Saving model
