epoch     train_loss  valid_loss  valid_accuracy  time
0         0.260748    0.379311    0.903572        40:13                                                                                                      
1         0.194229    0.710710    0.841818        40:00                                                                                                      
2         0.173381    0.523026    0.886972        39:52                                                                                                      
3         0.190155    0.559747    0.894387        39:58                                                                                                      
4         0.096493    0.490378    0.919684        39:56                                                                                                      
5         0.083253    0.423186    0.920238        39:58                                                                                                      
6         0.046068    0.596145    0.917241        40:00                                                                                                      
7         0.039587    0.568348    0.921856        39:57                                                                                                      
8         0.028157    0.626965    0.923518        39:46                                                                                                      
9         0.025129    0.645546    0.923314        39:59                                                                                                       
Saving model
