cell,model,channels,n_in,loss,macro_iou,macro_f1,overall_acc,n_classes,excluded,tiles,eval_px,asfalt,fliser,grus,ubefestet,green_roof,drivhus,betonflade,brosten,solceller
convnext_upernet_rgb,ConvNeXt+UPerNet,rgb,3,weighted CE,0.35864188131114566,0.45925813657161263,0.9336311235306625,9,-,19314,12194633781,0.5754756822938513,0.24247727353681545,0.215909024393146,0.9581740302860081,0.008268167687035132,0.2414465089007885,0.15258688082637284,0.08094663730472003,0.752492726571574
convnext_upernet_10ch,ConvNeXt+UPerNet,10ch,10,weighted CE,0.3446638436049828,0.43476343512911486,0.9374200568295032,9,-,19314,12194633781,0.5847095644868506,0.23945572920376376,0.2519705258840174,0.9664220159837353,0.0024170433641821265,0.19742969481559047,0.10041007847156849,0.0174673630337304,0.7416925772014069
convnext_upernet_6ch,ConvNeXt+UPerNet,6ch,6,weighted CE,0.3374343528628417,0.4257676871295344,0.9275252146253854,9,-,19314,12194633781,0.528788615551776,0.20319029885719178,0.20184735996635159,0.9558735169739846,0.0,0.19828028556303656,0.1363251943063053,0.015909946857352336,0.7966939576895766
convnext_upernet_rgb_unw,ConvNeXt+UPerNet,rgb,3,unweighted CE,0.33357983040412104,0.42863644520879624,0.9304994793430771,9,-,19314,12194633781,0.5662414559799555,0.25019797211251155,0.20345248353071507,0.9533407707054588,0.012375595977595275,0.10495566302897598,0.12022592991104472,0.09148263085384305,0.6999459715369895
convnext_upernet_10ch_unw,ConvNeXt+UPerNet,10ch,10,unweighted CE,0.33066596576859575,0.4172046488264539,0.935849365216784,9,-,19314,12194633781,0.5709083693793778,0.22326727023452697,0.2694344855937085,0.9612472576637136,0.0006681000364735198,0.11694460676345875,0.08639151638110451,0.02582411355326336,0.721307972311735
convnext_upernet_6ch_unw,ConvNeXt+UPerNet,6ch,6,unweighted CE,0.32076970125630416,0.40207807076850555,0.9273314288961508,9,-,19314,12194633781,0.5345064153162623,0.20715772104313615,0.21005114738245192,0.9556391474765781,0.0030658389392953633,0.11328542200621912,0.08533596153266608,0.009210403291416088,0.7686752543187124
swin_upernet_rgb_unw,Swin+UPerNet,rgb,3,unweighted CE,0.3183258275593475,0.40252083462072397,0.9268666412607213,9,-,19314,12194633781,0.5401231524261352,0.2046897965652536,0.20696852308319041,0.9537667882024125,0.008515120695738808,0.036466111084348954,0.08700000688244706,0.09083455911916369,0.7365683899754376
swin_upernet_10ch,Swin+UPerNet,10ch,10,weighted CE,0.31342432249001617,0.39800232221170184,0.9298906654882841,9,-,19314,12194633781,0.5519892703729311,0.17608343964631798,0.2510254175566502,0.9593881005774948,0.0,0.12879192676940993,0.06733314988484733,0.017857694189925853,0.6683499034125684
swin_upernet_10ch_unw,Swin+UPerNet,10ch,10,unweighted CE,0.3012739439981095,0.37325478057043227,0.9268054952670497,9,-,19314,12194633781,0.5311185871484531,0.1810978087649227,0.2147592264022353,0.9559357334709743,0.0,0.020103359173126615,0.05228923182048919,0.021407532452904436,0.73475401674988
swin_upernet_rgb,Swin+UPerNet,rgb,3,weighted CE,0.29817191814481103,0.3897239180485555,0.9174672670721673,9,-,19314,12194633781,0.49467308499569596,0.20244376717269336,0.2183341981438819,0.9434721814107448,0.020314120142533067,0.11304608600524597,0.030183223853428552,0.07440270645910876,0.586677895119967
