epoch     train_loss  valid_loss  valid_accuracy  time
0         0.404146    1.174951    0.779700        1:18:44                                                                                                    
1         0.298801    1.463606    0.800855        1:22:15                                                                                                    
2         0.190242    1.118554    0.837152        1:22:06                                                                                                    
3         0.220572    1.355455    0.819648        1:22:31                                                                                                    
4         0.138469    1.379703    0.816747        1:22:05                                                                                                    
5         0.157544    1.072584    0.826491        1:22:20                                                                                                    
6         0.118632    1.199277    0.825588        1:22:45                                                                                                    
7         0.097377    1.101146    0.840978        1:22:32                                                                                                    
8         0.080403    1.198916    0.834769        1:22:31                                                                                                    
9         0.078391    1.172702    0.838276        1:22:42                                                                                                     
saving model
