epoch     train_loss  valid_loss  valid_accuracy  time
0         0.143354    1.005346    0.803866        1:17:47                                                                                                    
1         0.149390    1.172296    0.815039        1:22:22                                                                                                    
2         0.165970    1.380293    0.790669        1:22:26                                                                                                    
3         0.131488    0.797620    0.844633        1:22:16                                                                                                    
4         0.160641    0.861521    0.835564        1:22:18                                                                                                    
5         0.089791    0.906239    0.829867        1:22:42                                                                                                    
6         0.123330    0.926802    0.829628        1:22:18                                                                                                    
7         0.069549    0.784449    0.837538        1:22:14                                                                                                    
8         0.152086    0.753017    0.846442        1:22:18                                                                                                    
9         0.104618    0.724599    0.847603        1:22:24                                                                                                     
saving model
