epoch     train_loss  valid_loss  valid_accuracy  time
0         0.452213    0.266327    0.941331        1:18:01                                                                                                    
1         0.411266    0.116398    0.980207        1:22:04                                                                                                    
2         0.314729    0.154848    0.970190        1:22:16                                                                                                    
3         0.259501    0.143298    0.974869        1:22:20                                                                                                    
4         0.284501    0.504593    0.945118        1:22:05                                                                                                    
5         0.210623    0.209513    0.969441        1:22:21                                                                                                    
6         0.264992    0.110617    0.984022        1:22:25                                                                                                    
7         0.183986    0.101118    0.984245        1:22:21                                                                                                    
8         0.129181    0.128211    0.981699        1:22:18                                                                                                    
9         0.123126    0.132805    0.982234        1:22:27                                                                                                     
saving model
