epoch     train_loss  valid_loss  valid_accuracy  time
0         0.466409    0.230746    0.915081        1:17:28                                                                                                    
1         0.426867    0.089829    0.980082        1:22:22                                                                                                    
2         0.317901    0.100715    0.976252        1:22:18                                                                                                    
3         0.246851    0.843424    0.875477        1:22:18                                                                                                    
4         0.248800    0.754149    0.909766        1:22:22                                                                                                    
5         0.199279    0.205723    0.969338        1:22:46                                                                                                    
6         0.185987    0.096606    0.979261        1:22:34                                                                                                    
7         0.168138    0.105607    0.979230        1:25:33                                                                                                      
8         0.137828    0.160740    0.973211        1:22:23                                                                                                    
9         0.113753    0.116344    0.979300        1:22:10                                                                                                     
saving model
