epoch     train_loss  valid_loss  valid_accuracy  time
0         0.385505    0.534365    0.878587        1:17:59                                                                                                    
1         0.378098    0.639968    0.862244        1:22:24                                                                                                    
2         0.368404    0.560803    0.874933        1:22:27                                                                                                    
3         0.287190    0.610372    0.868777        1:22:03                                                                                                    
4         0.176045    0.490056    0.899504        1:22:26                                                                                                    
5         0.213781    0.461673    0.896816        1:22:21                                                                                                    
6         0.134181    0.480221    0.908248        1:22:31                                                                                                    
7         0.168668    0.577115    0.896703        1:22:25                                                                                                    
8         0.133093    0.532047    0.902224        1:22:12                                                                                                    
9         0.126340    0.554789    0.902328        1:22:32                                                                                                     
saving model
