epoch     train_loss  valid_loss  valid_accuracy  time
0         0.232856    0.502026    0.861543        1:16:53                                                                                                    
1         0.325706    0.590192    0.881968        1:21:39                                                                                                    
2         0.288512    0.621790    0.861046        1:22:03                                                                                                    
3         0.211104    0.508065    0.869690        1:22:14                                                                                                    
4         0.165817    0.444120    0.873561        1:22:15                                                                                                    
5         0.229220    0.453908    0.896368        1:22:30                                                                                                    
6         0.144844    0.508608    0.897534        1:22:38                                                                                                    
7         0.130329    0.482000    0.897299        1:22:33                                                                                                    
8         0.113011    0.554753    0.892863        1:22:27                                                                                                    
9         0.110033    0.631283    0.888457        1:22:24                                                                                                     
saving model
