epoch     train_loss  valid_loss  valid_accuracy  time
0         0.244423    1.430186    0.790990        54:56                                                                                                      
1         0.312332    1.464949    0.812502        58:02                                                                                                      
2         0.212330    1.523263    0.813166        58:20                                                                                                      
3         0.193508    1.163944    0.788917        58:33                                                                                                      
4         0.183744    1.175748    0.816937        57:46                                                                                                      
5         0.228496    1.201154    0.831969        57:56                                                                                                      
6         0.139629    1.431017    0.801238        57:30                                                                                                      
7         0.116914    1.318133    0.804510        57:38                                                                                                      
8         0.088621    1.363094    0.812902        57:56                                                                                                      
9         0.143487    1.395516    0.816619        58:30                                                                                                       
saving model
