epoch     train_loss  valid_loss  valid_accuracy  time
0         0.433746    0.290125    0.917928        52:09                                                                                                      
1         0.373952    0.109829    0.980306        58:07                                                                                                      
2         0.448988    0.098481    0.982247        58:15                                                                                                      
3         0.283511    1.071282    0.895846        57:44                                                                                                      
4         0.306076    0.106325    0.982062        57:34                                                                                                      
5         0.231711    0.114195    0.981824        57:51                                                                                                      
6         0.168467    0.187608    0.974213        57:40                                                                                                      
7         0.230487    0.224159    0.971671        57:58                                                                                                      
8         0.162647    0.119061    0.981450        59:01                                                                                                      
Epoch 10/10 : |----------------------------------------------------------------------------------------------------| 0.00% [0/1610 00:00<?]                   
