epoch     train_loss  valid_loss  valid_accuracy  time
0         0.296045    0.456852    0.877543        52:01                                                                                                      
1         0.404684    0.829134    0.810188        58:20                                                                                                      
2         0.338506    0.914469    0.799124        57:43                                                                                                      
3         0.247392    0.711490    0.874307        57:56                                                                                                      
4         0.223310    0.741413    0.874816        58:24                                                                                                      
5         0.197368    1.403791    0.862319        58:45                                                                                                      
6         0.136783    0.956496    0.881384        59:25                                                                                                      
7         0.219024    0.759125    0.868704        58:41                                                                                                      
8         0.136352    0.925750    0.879612        1:00:38                                                                                                    
9         0.104837    0.891513    0.879364        1:00:09                                                                                                     
saving model
