epoch     train_loss  valid_loss  valid_accuracy  time
0         0.305175    1.062177    0.779021        46:16                                                                                                      
1         0.220255    1.054057    0.826631        50:03                                                                                                      
2         0.177801    1.249150    0.783631        49:26                                                                                                      
3         0.115933    1.385250    0.827545        49:28                                                                                                      
4         0.155204    1.229069    0.837403        49:19                                                                                                      
5         0.241763    1.451096    0.784897        49:14                                                                                                      
6         0.129066    1.228851    0.786859        49:31                                                                                                      
7         0.085325    1.238414    0.822203        49:28                                                                                                      
8         0.071810    1.459914    0.814853        49:11                                                                                                      
9         0.085471    1.458836    0.814043        49:49                                                                                                       
saving model
