epoch     train_loss  valid_loss  valid_accuracy  time
0         0.190258    1.085570    0.786202        46:22                                                                                                      
1         0.159368    0.892841    0.800320        49:22                                                                                                      
2         0.170927    0.971347    0.788928        49:12                                                                                                      
3         0.153509    0.794905    0.815482        49:14                                                                                                      
4         0.133177    1.291653    0.821484        49:01                                                                                                      
5         0.122456    0.764683    0.831294        49:02                                                                                                      
6         0.099957    1.200411    0.777028        49:11                                                                                                      
7         0.095250    1.009196    0.829403        49:12                                                                                                      
8         0.097686    1.122189    0.814500        49:00                                                                                                      
9         0.063749    1.100913    0.818245        49:10                                                                                                       
saving model
