epoch     train_loss  valid_loss  valid_accuracy  time
0         0.528547    0.107558    0.979883        43:59                                                                                                      
1         0.399305    0.252185    0.930765        49:06                                                                                                      
2         0.383348    0.115457    0.979649        49:07                                                                                                      
3         0.326389    0.116649    0.980928        48:56                                                                                                      
4         0.314541    0.144371    0.971389        49:02                                                                                                      
5         0.314766    0.118418    0.981056        48:55                                                                                                      
6         0.212160    0.142502    0.978889        49:07                                                                                                      
7         0.154398    0.105917    0.984670        48:56                                                                                                      
8         0.193877    0.138148    0.980279        48:52                                                                                                      
9         0.140976    0.139458    0.981400        48:53                                                                                                       
saving model
