epoch     train_loss  valid_loss  valid_accuracy  time
0         0.331782    0.100705    0.974874        43:24                                                                                                      
1         0.413248    0.489761    0.875367        48:34                                                                                                      
2         0.282205    0.182295    0.961148        48:27                                                                                                      
3         0.246073    0.104812    0.978730        48:20                                                                                                      
4         0.188945    0.846181    0.911135        48:29                                                                                                      
5         0.201983    0.138579    0.975635        49:03                                                                                                      
6         0.167395    0.138693    0.977020        48:44                                                                                                      
7         0.175380    0.238843    0.965796        48:30                                                                                                      
8         0.173650    0.092862    0.983081        48:42                                                                                                      
9         0.135080    0.100318    0.981690        48:39                                                                                                       
saving model
