epoch     train_loss  valid_loss  valid_accuracy  time
0         0.368282    0.669730    0.813339        43:54                                                                                                      
1         0.412190    0.736851    0.856293        49:15                                                                                                      
2         0.374356    0.721179    0.840657        49:03                                                                                                      
3         0.353630    0.651465    0.862216        49:17                                                                                                      
4         0.299254    0.813720    0.858791        49:09                                                                                                      
5         0.208619    0.544175    0.872629        49:17                                                                                                      
6         0.200223    0.908995    0.874139        49:00                                                                                                      
7         0.155724    0.888671    0.865778        49:10                                                                                                      
8         0.173963    0.874290    0.875719        49:17                                                                                                      
9         0.129262    0.810182    0.879028        49:23                                                                                                       
saving model
