epoch     train_loss  valid_loss  valid_accuracy  time
0         0.284363    0.568076    0.896475        43:39                                                                                                      
1         0.290741    0.433332    0.878237        48:43                                                                                                      
2         0.218717    0.455863    0.885317        48:45                                                                                                      
3         0.213176    0.415247    0.886846        48:44                                                                                                      
4         0.164528    0.378814    0.893966        49:10                                                                                                      
5         0.200804    0.400693    0.887702        48:34                                                                                                      
6         0.113776    0.424291    0.890679        49:11                                                                                                      
7         0.119409    0.502571    0.887095        49:13                                                                                                      
8         0.082946    0.541664    0.884104        49:01                                                                                                      
9         0.108416    0.530675    0.886160        48:33                                                                                                       
saving model
