epoch     train_loss  valid_loss  valid_accuracy  time
0         0.325113    0.941338    0.829604        23:40                                                                                                      
1         0.229057    0.980042    0.797079        22:33                                                                                                      
2         0.204706    0.987568    0.813404        22:32                                                                                                      
3         0.168602    0.887415    0.821876        22:34                                                                                                      
4         0.189816    0.842020    0.824453        22:31                                                                                                      
5         0.148261    0.943309    0.837767        22:31                                                                                                      
6         0.152774    0.994070    0.834826        22:32                                                                                                      
7         0.107163    0.907099    0.856827        22:33                                                                                                      
8         0.091828    0.922345    0.842047        22:34                                                                                                      
9         0.112251    0.950954    0.848670        22:33                                                                                                       
saving model
