epoch     train_loss  valid_loss  valid_accuracy  time
0         0.168571    0.814255    0.840555        23:41                                                                                                      
1         0.173865    0.736617    0.838646        22:33                                                                                                      
2         0.144971    0.653880    0.835439        22:37                                                                                                      
3         0.139773    0.773094    0.845419        22:37                                                                                                      
4         0.172259    0.799960    0.844565        22:39                                                                                                      
5         0.075476    0.772708    0.839972        22:38                                                                                                      
6         0.123670    0.670090    0.837704        22:35                                                                                                      
7         0.100999    0.725365    0.838467        22:35                                                                                                      
8         0.081208    0.730338    0.851625        22:38                                                                                                      
9         0.079709    0.721758    0.848455        22:35                                                                                                       
saving model
