epoch     train_loss  valid_loss  valid_accuracy  time
0         0.475528    0.100085    0.979205        22:34                                                                                                      
1         0.394334    0.146419    0.976723        22:27                                                                                                      
2         0.356593    0.099342    0.979774        22:27                                                                                                      
3         0.380339    0.157108    0.965107        22:27                                                                                                      
4         0.320467    0.109295    0.983137        22:28                                                                                                      
5         0.252627    0.115185    0.975681        22:23                                                                                                      
6         0.216138    0.163421    0.959430        22:26                                                                                                      
7         0.194932    0.274981    0.937510        22:26                                                                                                      
8         0.162470    0.181299    0.967104        22:26                                                                                                      
9         0.183172    0.177000    0.967898        22:28                                                                                                       
saving model
