epoch     train_loss  valid_loss  valid_accuracy  time
0         0.375585    0.071007    0.982693        22:39                                                                                                      
1         0.375837    0.208265    0.946630        22:34                                                                                                      
2         0.314112    0.137369    0.956308        22:31                                                                                                      
3         0.284646    0.104931    0.975252        22:33                                                                                                      
4         0.260983    0.100938    0.975761        22:33                                                                                                      
5         0.223673    0.163371    0.962145        22:31                                                                                                      
6         0.229442    0.078606    0.979667        22:31                                                                                                      
7         0.143583    0.150721    0.960410        22:32                                                                                                      
8         0.138714    0.139853    0.963196        22:30                                                                                                      
9         0.135462    0.183535    0.953684        22:30                                                                                                       
saving model
