epoch     train_loss  valid_loss  valid_accuracy  time
0         0.346484    0.900248    0.870457        22:35                                                                                                      
1         0.281838    0.470234    0.888526        22:30                                                                                                      
2         0.289294    0.448151    0.886837        22:30                                                                                                      
3         0.267552    0.521381    0.876050        22:28                                                                                                      
4         0.177257    0.534115    0.902976        22:30                                                                                                      
5         0.162270    0.552484    0.889662        22:29                                                                                                      
6         0.140993    0.569098    0.882661        22:29                                                                                                      
7         0.135352    0.466824    0.898610        22:27                                                                                                      
8         0.153641    0.544842    0.890018        22:29                                                                                                      
9         0.245485    0.589985    0.893980        22:30                                                                                                       
saving model
