epoch     train_loss  valid_loss  valid_accuracy  time
0         0.246518    0.488991    0.861774        22:43                                                                                                      
1         0.484091    0.473154    0.857515        22:39                                                                                                      
2         0.223535    0.352980    0.907386        22:34                                                                                                      
3         0.267115    0.448565    0.888695        22:34                                                                                                      
4         0.168534    0.445027    0.875852        22:33                                                                                                      
5         0.158024    0.413015    0.897544        22:36                                                                                                      
6         0.130123    0.436294    0.900184        22:34                                                                                                      
7         0.127648    0.425670    0.897276        22:32                                                                                                      
8         0.143896    0.453207    0.897668        22:33                                                                                                      
9         0.107841    0.484714    0.895117        22:34                                                                                                       
saving model
