epoch     train_loss  valid_loss  valid_accuracy  time
0         0.252142    1.079391    0.825055        1:19:38                                                                                                    
1         0.186402    1.045110    0.832632        1:23:19                                                                                                    
2         0.183589    1.357528    0.835185        1:23:31                                                                                                    
3         0.121615    0.990415    0.812898        1:23:33                                                                                                    
4         0.082431    1.122755    0.849692        1:23:50                                                                                                    
5         0.110026    0.962245    0.843219        1:23:44                                                                                                    
6         0.067983    1.144228    0.836127        1:23:33                                                                                                    
7         0.056892    1.119817    0.834832        1:23:38                                                                                                    
8         0.046100    1.206024    0.848082        1:23:45                                                                                                    
9         0.033880    1.294387    0.842991        1:23:25                                                                                                     
Saving model
