epoch     train_loss  valid_loss  valid_accuracy  time
0         0.150020    0.834713    0.832972        1:18:40                                                                                                    
1         0.204329    1.070328    0.758462        1:22:43                                                                                                    
2         0.118175    1.043400    0.813937        1:22:54                                                                                                    
3         0.110530    0.710753    0.849356        1:23:05                                                                                                    
4         0.127682    0.755781    0.834263        1:23:00                                                                                                    
5         0.063982    0.785338    0.836942        1:22:43                                                                                                    
6         0.074911    1.111891    0.812711        1:22:36                                                                                                    
7         0.053826    0.840765    0.852348        1:22:52                                                                                                    
8         0.050018    0.997530    0.832965        1:23:01                                                                                                    
9         0.031946    1.156931    0.830053        1:23:05                                                                                                     
Saving model
