epoch     train_loss  valid_loss  valid_accuracy  time
0         0.329524    0.102561    0.981024        1:18:44                                                                                                    
1         0.408535    0.139500    0.973912        1:23:03                                                                                                    
2         0.360149    0.126653    0.980959        1:23:05                                                                                                    
3         0.314857    0.119171    0.975548        1:24:19                                                                                                    
4         0.361898    0.272761    0.951951        1:24:16                                                                                                      
5         0.188889    0.218566    0.951772        1:24:24                                                                                                      
6         0.138841    0.123756    0.980426        1:24:50                                                                                                      
7         0.122617    0.186511    0.972661        1:24:37                                                                                                      
8         0.098909    0.170901    0.980184        1:24:17                                                                                                    
9         0.095250    0.180215    0.978600        1:23:56                                                                                                     
Saving model
