epoch     train_loss  valid_loss  valid_accuracy  time
0         0.306923    0.095961    0.979966        1:18:11                                                                                                    
1         0.336554    0.122097    0.979891        1:22:39                                                                                                    
2         0.275692    0.097887    0.980104        1:22:51                                                                                                    
3         0.209841    0.250633    0.940445        1:22:31                                                                                                    
4         0.194092    0.080282    0.982314        1:22:23                                                                                                    
5         0.126011    0.134958    0.973008        1:22:40                                                                                                    
6         0.073281    0.084998    0.985080        1:22:34                                                                                                    
7         0.096660    0.084749    0.985719        1:23:01                                                                                                    
8         0.074002    0.104058    0.983938        1:22:50                                                                                                    
9         0.055580    0.099549    0.984782        1:22:42                                                                                                     
Saving model
