epoch     train_loss  valid_loss  valid_accuracy  time
0         0.437057    0.505240    0.894301        1:20:28                                                                                                    
1         0.271253    0.453438    0.894569        1:24:28                                                                                                    
2         0.275293    0.424610    0.906056        1:24:16                                                                                                    
3         0.142145    0.512746    0.888808        1:24:41                                                                                                    
4         0.145184    0.583668    0.902783        1:25:00                                                                                                    
5         0.130400    0.474408    0.907057        1:24:53                                                                                                    
6         0.110205    0.460319    0.899227        1:24:54                                                                                                    
7         0.087892    0.473150    0.920756        1:25:03                                                                                                    
8         0.048165    0.542028    0.912761        1:25:06                                                                                                      
9         0.047537    0.579750    0.914629        1:25:05                                                                                                       
Saving model
