epoch     train_loss  valid_loss  valid_accuracy  time
0         0.254013    0.327723    0.900852        1:17:40                                                                                                    
1         0.241717    0.425102    0.870901        1:22:15                                                                                                    
2         0.358081    0.403240    0.878957        1:22:41                                                                                                    
3         0.200735    0.389360    0.904735        1:22:23                                                                                                    
4         0.103986    0.368105    0.902373        1:21:58                                                                                                    
5         0.101184    0.363072    0.902850        1:22:12                                                                                                    
6         0.083666    0.305612    0.919525        1:22:13                                                                                                    
7         0.045798    0.442186    0.909438        1:22:21                                                                                                    
8         0.057234    0.452288    0.908212        1:22:15                                                                                                    
9         0.042193    0.457884    0.906670        1:22:23                                                                                                     
Saving model
