epoch     train_loss  valid_loss  valid_accuracy  time
0         0.237085    1.763273    0.796070        57:57                                                                                                      
1         0.282855    2.052277    0.745235        57:19                                                                                                      
2         0.156293    1.218400    0.818475        58:26                                                                                                      
3         0.155700    1.169637    0.824385        58:48                                                                                                      
4         0.096493    1.061614    0.850522        1:00:24                                                                                                    
5         0.114834    1.228470    0.812317        58:53                                                                                                      
6         0.137709    1.549944    0.811084        58:59                                                                                                      
7         0.049164    1.268772    0.838670        59:13                                                                                                      
8         0.054897    1.669524    0.825632        58:33                                                                                                      
9         0.028822    1.719872    0.825086        58:37                                                                                                       
Saving model
