epoch     train_loss  valid_loss  valid_accuracy  time
0         0.442151    0.103456    0.978697        54:06                                                                                                      
1         0.460495    0.129269    0.978850        58:41                                                                                                      
2         0.397492    0.159019    0.977718        59:36                                                                                                      
3         0.255514    0.112962    0.982841        59:15                                                                                                      
4         0.355933    0.202119    0.946940        59:01                                                                                                      
5         0.173881    0.102201    0.983355        59:11                                                                                                      
6         0.144313    0.123526    0.981997        59:04                                                                                                      
7         0.187112    0.142073    0.982809        59:09                                                                                                      
8         0.071043    0.143843    0.984020        59:14                                                                                                      
9         0.072875    0.144382    0.984801        59:07                                                                                                       
Saving model
