epoch     train_loss  valid_loss  valid_accuracy  time
0         0.256344    0.510503    0.888200        54:33                                                                                                      
1         0.334657    0.599991    0.853643        58:23                                                                                                      
2         0.218993    0.587713    0.896986        59:07                                                                                                      
3         0.202596    0.486703    0.893160        58:57                                                                                                      
4         0.119779    0.561859    0.898929        59:12                                                                                                      
5         0.133848    0.668308    0.895720        58:45                                                                                                      
6         0.084963    0.689833    0.893260        58:34                                                                                                      
7         0.087024    0.630184    0.900526        58:50                                                                                                      
8         0.049726    0.724435    0.902588        59:12                                                                                                      
9         0.051508    0.721078    0.903081        58:54                                                                                                       
Saving model
