epoch     train_loss  valid_loss  valid_accuracy  time
0         0.201562    0.986311    0.826002        53:29                                                                                                      
1         0.288120    0.951651    0.823289        53:06                                                                                                      
2         0.192325    0.992096    0.818963        53:10                                                                                                      
3         0.149530    1.096922    0.812906        53:14                                                                                                      
4         0.108861    1.072728    0.823434        53:12                                                                                                      
5         0.097559    1.337351    0.795640        53:30                                                                                                      
6         0.095750    1.504319    0.799737        53:09                                                                                                      
7         0.053055    1.654324    0.820058        53:11                                                                                                      
8         0.063021    1.414564    0.840619        53:08                                                                                                      
9         0.045316    1.538909    0.833377        53:09                                                                                                       
Saving model
