epoch     train_loss  valid_loss  valid_accuracy  time
0         0.149880    0.779416    0.824467        53:21                                                                                                      
1         0.448500    2.291511    0.734398        53:18                                                                                                      
2         0.175284    0.858367    0.823144        53:09                                                                                                      
3         0.119058    0.886972    0.827747        53:17                                                                                                      
4         0.107568    0.825511    0.847193        53:15                                                                                                      
5         0.090263    0.744740    0.837453        53:18                                                                                                      
6         0.080347    0.729737    0.838690        53:21                                                                                                      
7         0.054624    0.838877    0.844895        53:05                                                                                                      
8         0.040045    0.892085    0.848215        53:13                                                                                                      
9         0.030596    1.007714    0.843020        53:19                                                                                                       
Saving model
