epoch     train_loss  valid_loss  valid_accuracy  time
0         0.368086    0.126020    0.980963        51:38                                                                                                      
1         0.391383    0.083756    0.982807        51:51                                                                                                      
2         0.381940    0.116416    0.979105        51:56                                                                                                      
3         0.297442    0.171151    0.958249        51:41                                                                                                      
4         0.234138    0.178254    0.967251        51:47                                                                                                      
5         0.181944    0.153971    0.973706        51:42                                                                                                      
6         0.187868    0.285572    0.948560        51:49                                                                                                      
7         0.107051    0.161455    0.979220        52:12                                                                                                      
8         0.090718    0.242403    0.969119        52:01                                                                                                      
9         0.078173    0.213631    0.974222        51:58                                                                                                       
Saving model
