epoch     train_loss  valid_loss  valid_accuracy  time
0         0.260377    0.116154    0.975935        51:58                                                                                                      
1         0.313668    0.106251    0.981463        51:55                                                                                                      
2         0.268572    0.178474    0.951534        51:55                                                                                                      
3         0.229402    0.075122    0.982848        51:57                                                                                                      
4         0.250435    0.087741    0.981920        52:00                                                                                                      
5         0.135197    0.153825    0.970424        51:58                                                                                                      
6         0.124159    0.296914    0.955263        52:00                                                                                                      
7         0.088765    0.092776    0.985370        52:03                                                                                                      
8         0.078894    0.115980    0.981195        51:52                                                                                                      
9         0.050119    0.123591    0.979981        52:02                                                                                                       
Saving model
