epoch     train_loss  valid_loss  valid_accuracy  time
0         0.341548    0.419026    0.890741        52:45                                                                                                      
1         0.403714    0.496111    0.905273        52:48                                                                                                      
2         0.322277    0.368810    0.896558        52:35                                                                                                      
3         0.288816    0.470762    0.903154        52:34                                                                                                      
4         0.181216    0.514364    0.865509        52:25                                                                                                      
5         0.121389    0.536177    0.898820        52:22                                                                                                      
6         0.119074    0.661886    0.897405        52:15                                                                                                      
7         0.053914    0.683875    0.901487        52:21                                                                                                      
8         0.052298    0.678909    0.904856        52:22                                                                                                      
9         0.045337    0.657839    0.905916        52:21                                                                                                       
Saving model
