epoch     train_loss  valid_loss  valid_accuracy  time
0         0.230156    0.382356    0.890468        52:37                                                                                                      
1         0.256287    0.572087    0.880489        52:41                                                                                                      
2         0.189777    0.376195    0.895935        52:42                                                                                                      
3         0.168839    0.377309    0.897275        52:39                                                                                                      
4         0.135868    0.343336    0.907914        52:36                                                                                                      
5         0.108868    0.385156    0.888651        52:36                                                                                                      
6         0.068601    0.442820    0.891580        52:41                                                                                                      
7         0.058084    0.439855    0.903057        52:40                                                                                                      
8         0.048553    0.465450    0.904000        52:44                                                                                                      
9         0.047614    0.484161    0.903014        52:36                                                                                                       
Saving model
