epoch     train_loss  valid_loss  valid_accuracy  time
0         0.225447    0.977531    0.826036        45:07                                                                                                      
1         0.173262    1.244583    0.779178        44:56                                                                                                      
2         0.193659    1.074300    0.845050        44:57                                                                                                      
3         0.180648    0.854996    0.846913        44:54                                                                                                      
4         0.097990    0.985649    0.824194        44:57                                                                                                      
5         0.098669    0.877035    0.847159        44:47                                                                                                      
6         0.125004    0.971931    0.846744        44:58                                                                                                      
7         0.061401    1.001909    0.849148        44:57                                                                                                      
8         0.048858    1.094522    0.845938        44:47                                                                                                      
9         0.030144    1.133710    0.848535        44:56                                                                                                       
Saving model
