epoch     train_loss  valid_loss  valid_accuracy  time
0         0.421558    0.355934    0.892487        45:04                                                                                                      
1         0.435848    0.239868    0.971010        44:54                                                                                                      
2         0.387182    0.473533    0.924386        44:50                                                                                                      
3         0.293695    0.121239    0.977871        44:56                                                                                                      
4         0.258260    0.102285    0.983458        44:56                                                                                                      
5         0.199330    0.121067    0.982609        44:57                                                                                                      
6         0.130990    0.148093    0.985260        45:18                                                                                                      
7         0.097218    0.161312    0.982496        44:57                                                                                                      
8         0.096333    0.143913    0.985419        45:00                                                                                                      
9         0.072350    0.152739    0.985403        44:49                                                                                                       
Saving model
