epoch     train_loss  valid_loss  valid_accuracy  time
0         0.298401    0.480362    0.900983        44:51                                                                                                      
1         0.315508    0.543991    0.874097        44:52                                                                                                      
2         0.247025    0.427201    0.908536        44:54                                                                                                      
3         0.219533    0.496167    0.909143        44:55                                                                                                      
4         0.157207    0.469252    0.906034        44:54                                                                                                      
5         0.207274    0.478363    0.918788        44:52                                                                                                      
6         0.084072    0.492875    0.917585        44:54                                                                                                      
7         0.084179    0.517984    0.927833        44:53                                                                                                      
8         0.095952    0.533885    0.927340        44:55                                                                                                      
9         0.075687    0.586138    0.927638        44:50                                                                                                       
Saving model
