epoch     train_loss  valid_loss  valid_accuracy  time
0         0.213517    0.971651    0.806065        50:44                                                                                                      
1         0.217029    0.999208    0.761834        50:23                                                                                                      
2         0.148539    0.990839    0.845952        50:19                                                                                                      
3         0.183723    0.810465    0.847400        50:33                                                                                                      
4         0.110722    0.989482    0.844984        50:04                                                                                                      
5         0.101326    0.936438    0.852578        50:19                                                                                                      
6         0.075027    1.056134    0.844230        50:13                                                                                                      
7         0.066844    1.148771    0.852449        50:35                                                                                                      
8         0.044874    1.332174    0.834459        50:22                                                                                                      
9         0.037730    1.272978    0.842780        50:40                                                                                                       
Saving model
