epoch     train_loss  valid_loss  valid_accuracy  time
0         0.182473    0.879061    0.835275        44:57                                                                                                      
1         0.268712    1.116298    0.840592        44:51                                                                                                      
2         0.206348    0.831531    0.831963        44:52                                                                                                      
3         0.137838    0.971314    0.838556        44:53                                                                                                      
4         0.132167    0.884377    0.853360        44:52                                                                                                      
5         0.090844    1.071517    0.824254        44:49                                                                                                      
6         0.077761    0.887673    0.850429        44:49                                                                                                      
7         0.072559    1.001462    0.854873        44:51                                                                                                      
8         0.060201    1.138037    0.857859        44:48                                                                                                      
9         0.053914    1.109964    0.855413        44:50                                                                                                       
Saving model
