epoch     train_loss  valid_loss  valid_accuracy  time
0         0.143377    0.648296    0.852354        45:10                                                                                                      
1         0.178304    1.012470    0.788373        44:58                                                                                                      
2         0.137991    0.792788    0.847728        44:55                                                                                                      
3         0.098581    0.790714    0.851115        44:48                                                                                                      
4         0.133824    0.724821    0.849142        44:57                                                                                                      
5         0.068555    0.699855    0.856293        45:02                                                                                                      
6         0.065855    0.727443    0.861127        44:54                                                                                                      
7         0.047834    0.704704    0.858201        44:54                                                                                                      
8         0.044825    0.796340    0.862134        44:56                                                                                                      
9         0.052345    0.839769    0.862594        44:56                                                                                                       
Saving model
