epoch     train_loss  valid_loss  valid_accuracy  time
0         0.369435    0.116745    0.975962        44:51                                                                                                      
1         0.378458    1.104049    0.823317        44:41                                                                                                      
2         0.394652    0.126601    0.967254        44:43                                                                                                      
3         0.295058    0.119561    0.975411        44:44                                                                                                      
4         0.224884    0.406808    0.915591        44:40                                                                                                      
5         0.167292    0.223270    0.963008        44:42                                                                                                      
6         0.110220    0.393124    0.941800        44:42                                                                                                      
7         0.092994    0.437969    0.932278        44:45                                                                                                      
8         0.085169    0.431068    0.943985        44:47                                                                                                      
9         0.084278    0.451146    0.943856        44:45                                                                                                       
Saving model
