epoch     train_loss  valid_loss  valid_accuracy  time
0         0.311933    0.082773    0.982222        44:58                                                                                                      
1         0.358157    0.146703    0.964112        44:51                                                                                                      
2         0.270169    0.088756    0.974902        44:42                                                                                                      
3         0.248820    0.096536    0.977482        44:44                                                                                                      
4         0.242189    0.091457    0.983279        44:42                                                                                                      
5         0.135936    0.086914    0.981084        44:42                                                                                                      
6         0.122152    0.132632    0.971481        44:44                                                                                                      
7         0.073555    0.210510    0.968129        44:45                                                                                                      
8         0.065557    0.325818    0.956198        44:45                                                                                                      
9         0.051937    0.344149    0.959931        44:46                                                                                                       
Saving model
