epoch     train_loss  valid_loss  valid_accuracy  time
0         0.364164    0.479240    0.903895        44:55                                                                                                      
1         0.305520    0.517894    0.901340        44:48                                                                                                      
2         0.233944    0.707771    0.870021        44:47                                                                                                      
3         0.209288    0.579555    0.896783        44:47                                                                                                      
4         0.154866    0.454044    0.897225        44:48                                                                                                      
5         0.125644    0.552871    0.909355        44:47                                                                                                      
6         0.138917    0.592747    0.910034        44:47                                                                                                      
7         0.060876    0.618322    0.910719        44:47                                                                                                      
8         0.063013    0.670177    0.910445        44:47                                                                                                      
9         0.055678    0.721003    0.912227        44:45                                                                                                       
Saving model
