epoch     train_loss  valid_loss  valid_accuracy  time
0         0.160412    0.354571    0.911076        44:52                                                                                                      
1         0.436062    0.563669    0.878335        44:51                                                                                                      
2         0.299499    0.697531    0.849105        44:44                                                                                                      
3         0.141524    0.396718    0.904944        44:47                                                                                                      
4         0.107663    0.422336    0.893727        44:46                                                                                                      
5         0.087058    0.369931    0.900630        44:46                                                                                                      
6         0.097849    0.508690    0.903347        44:46                                                                                                      
7         0.116388    0.426681    0.920706        44:46                                                                                                      
8         0.060424    0.471139    0.917351        44:50                                                                                                      
9         0.052088    0.535723    0.915239        44:47                                                                                                       
Saving model
