epoch     train_loss  valid_loss  valid_accuracy  time
0         0.428616    2.658227    0.749448        1:18:05                                                                                                    
1         0.259373    1.150782    0.795230        1:22:51                                                                                                    
2         0.172644    1.426112    0.786639        1:22:42                                                                                                    
3         0.188810    1.572218    0.787747        1:22:56                                                                                                    
4         0.231580    1.075363    0.830582        1:22:26                                                                                                    
5         0.149413    1.453583    0.805947        1:22:37                                                                                                    
6         0.181661    1.024220    0.820544        1:22:55                                                                                                    
7         0.132228    1.110946    0.827988        1:22:21                                                                                                    
8         0.104061    1.242355    0.817704        1:22:38                                                                                                    
9         0.096764    1.201390    0.824201        1:22:47                                                                                                     
saving model
