epoch     train_loss  valid_loss  valid_accuracy  time
0         0.318794    1.310909    0.743500        1:19:09                                                                                                    
1         0.167882    1.037074    0.786744        1:23:28                                                                                                    
2         0.159616    1.117020    0.776145        1:23:11                                                                                                    
3         0.120822    0.844465    0.808748        1:22:58                                                                                                    
4         0.151497    1.333291    0.789785        1:23:12                                                                                                    
5         0.115620    0.879265    0.823071        1:23:21                                                                                                    
6         0.107325    1.076183    0.807495        1:23:47                                                                                                    
7         0.150196    0.801476    0.834432        1:23:57                                                                                                    
8         0.088567    0.809539    0.832009        1:23:37                                                                                                    
9         0.087578    0.852240    0.832849        1:23:49                                                                                                     
saving model
