epoch     train_loss  valid_loss  valid_accuracy  time
0         0.567365    0.129947    0.975476        1:18:05                                                                                                    
1         0.606863    0.124844    0.978180        1:22:16                                                                                                    
2         0.367313    0.118751    0.979088        1:22:40                                                                                                    
3         0.386283    0.177623    0.964059        1:22:25                                                                                                    
4         0.329049    0.110042    0.979903        1:22:22                                                                                                    
5         0.298352    0.111346    0.981738        1:22:31                                                                                                    
6         0.268829    0.134216    0.979420        1:22:21                                                                                                    
7         0.239629    0.153725    0.959149        1:21:59                                                                                                    
8         0.224451    0.130960    0.976389        1:22:34                                                                                                    
9         0.158531    0.126647    0.977664        1:22:27                                                                                                     
saving model
