epoch     train_loss  valid_loss  valid_accuracy  time
0         0.470163    0.137972    0.972309        1:17:46                                                                                                    
1         0.342421    0.089847    0.977577        1:22:46                                                                                                    
2         0.362811    0.154826    0.965986        1:23:16                                                                                                    
3         0.316901    0.092673    0.976232        1:23:09                                                                                                    
4         0.253971    0.086280    0.981419        1:22:43                                                                                                    
5         0.268230    0.082319    0.981638        1:22:50                                                                                                    
6         0.213627    0.093530    0.978712        1:23:12                                                                                                    
7         0.180868    0.089464    0.978582        1:24:43                                                                                                      
8         0.140423    0.082299    0.983771        1:23:47                                                                                                    
9         0.158754    0.081445    0.982246        1:23:03                                                                                                     
saving model
