epoch     train_loss  valid_loss  valid_accuracy  time
0         0.595611    0.484681    0.875706        1:18:12                                                                                                    
1         0.345727    0.577365    0.880835        1:22:51                                                                                                    
2         0.352598    0.733363    0.829831        1:22:55                                                                                                    
3         0.257502    0.983685    0.802075        1:22:44                                                                                                    
4         0.216544    0.637009    0.859121        1:22:33                                                                                                    
5         0.247860    0.710263    0.857867        1:22:48                                                                                                    
6         0.200176    0.799640    0.853238        1:22:40                                                                                                    
7         0.156468    0.745317    0.862317        1:22:28                                                                                                    
8         0.158921    0.711806    0.871315        1:22:17                                                                                                    
9         0.153661    0.751842    0.862505        1:22:34                                                                                                     
saving model
