epoch     train_loss  valid_loss  valid_accuracy  time
0         0.365649    0.565314    0.852434        1:18:12                                                                                                    
1         0.229692    0.622301    0.824381        1:22:44                                                                                                    
2         0.218014    0.600898    0.860909        1:22:46                                                                                                    
3         0.205473    0.722792    0.837278        1:23:43                                                                                                    
4         0.159183    0.656215    0.870778        1:23:16                                                                                                    
5         0.137673    0.863200    0.842706        1:23:17                                                                                                    
6         0.151147    0.721111    0.862769        1:23:09                                                                                                    
7         0.117440    0.755152    0.852380        1:22:56                                                                                                    
8         0.113963    0.672650    0.855767        1:23:07                                                                                                    
9         0.142514    0.659013    0.857048        1:22:51                                                                                                     
saving model
