epoch     train_loss  valid_loss  valid_accuracy  time
0         0.360050    1.295949    0.755165        55:37                                                                                                      
1         0.302545    1.990062    0.744720        59:45                                                                                                      
2         0.316891    1.362532    0.794924        59:16                                                                                                      
3         0.177855    1.438398    0.809511        1:00:25                                                                                                    
4         0.181947    1.910401    0.787886        1:00:21                                                                                                    
5         0.249971    1.417857    0.771541        1:00:20                                                                                                    
6         0.153353    1.332630    0.804927        59:58                                                                                                      
7         0.076914    1.424295    0.811345        1:00:40                                                                                                    
8         0.122311    1.420065    0.797508        1:00:49                                                                                                    
9         0.113665    1.372578    0.815252        1:00:00                                                                                                     
saving model
