epoch     train_loss  valid_loss  valid_accuracy  time
0         0.674860    0.428236    0.880013        54:09                                                                                                      
1         0.513681    0.589456    0.842390        1:00:27                                                                                                    
2         0.426843    0.152551    0.970783        59:59                                                                                                      
3         0.351471    0.261270    0.929345        1:00:02                                                                                                    
4         0.306544    0.189867    0.966539        59:41                                                                                                      
5         0.336585    0.212721    0.950826        59:54                                                                                                      
6         0.317455    0.252288    0.934736        59:25                                                                                                      
7         0.234406    0.202238    0.949647        59:56                                                                                                      
8         0.196051    0.242354    0.941848        59:44                                                                                                      
9         0.241418    0.301478    0.915727        59:40                                                                                                       
saving model
